throttle,clutch,wheelAngularSpeed,t_feedback,t_eng,t_loss,t_flywheel,flywheelAngularSpeed,torqueOut,timestamp:1430988030
0.75,0.5,0.0229096,0.00229096,0,-0.00306748,0.000776515,-0.0153371,0.0573701,
0.75,0.5,0.0230932,0.00230932,0,-0.00306743,0.000758104,-0.0153369,0.0576451,
0.75,0.5,0.0232777,0.00232777,0,-0.00306738,0.000739608,-0.0153366,0.0579215,
0.75,0.5,0.023463,0.0023463,0,-0.00306733,0.000721027,-0.0153364,0.0581991,
0.75,0.5,0.0236492,0.00236492,0,-0.00306728,0.000702362,-0.0153362,0.058478,
0.75,0.5,0.0238362,0.00238362,0,-0.00306723,0.000683611,-0.0153359,0.0587582,
0.75,0.5,0.0240241,0.00240241,0,-0.00306719,0.000664774,-0.0153357,0.0590397,
0.75,0.5,0.0242129,0.00242129,0,-0.00306714,0.00064585,-0.0153355,0.0593226,
0.75,0.5,0.0244026,0.00244026,0,-0.0030671,0.00062684,-0.0153353,0.0596068,
0.75,0.5,0.0245931,0.00245931,0,-0.00306706,0.000607743,-0.0153351,0.0598923,
0.75,0.5,0.0247846,0.00247846,0,-0.00306702,0.000588558,-0.0153349,0.0601792,
0.75,0.5,0.0249769,0.00249769,0,-0.00306698,0.000569285,-0.0153347,0.0604674,
0.75,0.5,0.0251701,0.00251701,0,-0.00306694,0.000549924,-0.0153345,0.060757,
0.75,0.5,0.0253643,0.00253643,0,-0.0030669,0.000530474,-0.0153343,0.0610479,
0.75,0.5,0.0255593,0.00255593,0,-0.00306687,0.000510935,-0.0153342,0.0613402,
0.75,0.5,0.0257553,0.00257553,0,-0.00306683,0.000491306,-0.015334,0.0616339,
0.75,0.5,0.0259521,0.00259521,0,-0.0030668,0.000471587,-0.0153338,0.061929,
0.75,0.5,0.0261499,0.00261499,0,-0.00306677,0.000451778,-0.0153337,0.0622254,
0.75,0.5,0.0263486,0.00263486,0,-0.00306674,0.000431878,-0.0153335,0.0625232,
0.75,0.5,0.0265482,0.00265482,0,-0.00306671,0.000411886,-0.0153334,0.0628225,
0.75,0.5,0.0267488,0.00267488,0,-0.00306668,0.000391803,-0.0153333,0.0631231,
0.75,0.5,0.0269503,0.00269503,0,-0.00306666,0.000371627,-0.0153332,0.0634252,
0.75,0.5,0.0271527,0.00271527,0,-0.00306663,0.000351359,-0.015333,0.0637286,
0.75,0.5,0.0273561,0.00273561,0,-0.00306661,0.000330998,-0.0153329,0.0640335,
0.75,0.5,0.0275604,0.00275604,0,-0.00306659,0.000310543,-0.0153328,0.0643399,
0.75,0.5,0.0277657,0.00277657,0,-0.00306657,0.000289995,-0.0153327,0.0646477,
0.75,0.5,0.0279719,0.00279719,0,-0.00306655,0.000269351,-0.0153326,0.0649569,
0.75,0.5,0.0281791,0.00281791,0,-0.00306653,0.000248614,-0.0153326,0.0652675,
0.75,0.5,0.0283873,0.00283873,0,-0.00306651,0.00022778,-0.0153325,0.0655797,
0.75,0.5,0.0285964,0.00285964,0,-0.0030665,0.000206852,-0.0153324,0.0658933,
0.75,0.5,0.0288066,0.00288066,0,-0.00306648,0.000185827,-0.0153323,0.0662084,
0.75,0.5,0.0290176,0.00290176,0,-0.00306647,0.000164705,-0.0153323,0.0665249,
0.75,0.5,0.0292297,0.00292297,0,-0.00306646,0.000143486,-0.0153322,0.066843,
0.75,0.5,0.0294428,0.00294428,0,-0.00306645,0.00012217,-0.0153322,0.0671625,
0.75,0.5,0.0296569,0.00296569,0,-0.00306644,0.000100756,-0.0153322,0.0674835,
0.75,0.5,0.0298719,0.00298719,0,-0.00306643,7.92432e-005,-0.0153321,0.0678061,
0.75,0.5,0.030088,0.0030088,0,-0.00306643,5.76314e-005,-0.0153321,0.0681302,
0.75,0.5,0.030305,0.0030305,0,-0.00306642,3.59204e-005,-0.0153321,0.0684557,
0.75,0.5,0.0305231,0.00305231,0,-0.00306642,1.41098e-005,-0.0153321,0.0687829,
0.75,0.5,0.0307422,0.00307422,0,-0.00306642,-7.80122e-006,-0.0153321,0.0691115,
0.75,0.5,0.0309624,0.00309624,0,-0.00306642,-2.9813e-005,-0.0153321,0.0694417,
0.75,0.5,0.0311835,0.00311835,0,-0.00306642,-5.19261e-005,-0.0153321,0.0697735,
0.75,0.5,0.0314057,0.00314057,0,-0.00306643,-7.41407e-005,-0.0153322,0.0701068,
0.75,0.5,0.0316289,0.00316289,0,-0.00306643,-9.64575e-005,-0.0153322,0.0704417,
0.75,0.5,0.0318532,0.00318532,0,-0.00306644,-0.000118877,-0.0153322,0.0707781,
0.75,0.5,0.0320785,0.00320785,0,-0.00306645,-0.0001414,-0.0153323,0.0711161,
0.75,0.5,0.0323048,0.00323048,0,-0.00306646,-0.000164027,-0.0153323,0.0714558,
0.75,0.5,0.0325323,0.00325323,0,-0.00306647,-0.000186757,-0.0153324,0.071797,
0.75,0.5,0.0327607,0.00327607,0,-0.00306648,-0.000209593,-0.0153325,0.0721398,
0.75,0.5,0.0329903,0.00329903,0,-0.00306649,-0.000232533,-0.0153326,0.0724843,
0.75,0.5,0.0332209,0.00332209,0,-0.00306651,-0.000255579,-0.0153326,0.0728303,
0.75,0.5,0.0334526,0.00334526,0,-0.00306653,-0.000278732,-0.0153327,0.073178,
0.75,0.5,0.0336854,0.00336854,0,-0.00306655,-0.000301991,-0.0153328,0.0735273,
0.75,0.5,0.0339192,0.00339192,0,-0.00306657,-0.000325357,-0.0153329,0.0738783,
0.75,0.5,0.0341542,0.00341542,0,-0.00306659,-0.000348831,-0.0153331,0.0742309,
0.75,0.5,0.0343902,0.00343902,0,-0.00306661,-0.000372413,-0.0153332,0.0745851,
0.75,0.5,0.0346274,0.00346274,0,-0.00306664,-0.000396103,-0.0153333,0.0749411,
0.75,0.5,0.0348657,0.00348657,0,-0.00306666,-0.000419903,-0.0153335,0.0752987,
0.75,0.5,0.035105,0.0035105,0,-0.00306669,-0.000443812,-0.0153336,0.0756579,
0.75,0.5,0.0353455,0.00353455,0,-0.00306672,-0.000467832,-0.0153338,0.0760189,
0.75,0.5,0.0355871,0.00355871,0,-0.00306675,-0.000491962,-0.0153339,0.0763816,
0.75,0.5,0.0358299,0.00358299,0,-0.00306678,-0.000516203,-0.0153341,0.0767459,
0.75,0.5,0.0360737,0.00360737,0,-0.00306682,-0.000540557,-0.0153343,0.077112,
0.75,0.5,0.0363188,0.00363188,0,-0.00306685,-0.000565022,-0.0153345,0.0774798,
0.75,0.5,0.0365649,0.00365649,0,-0.00306689,-0.000589601,-0.0153347,0.0778494,
0.75,0.5,0.0368122,0.00368122,0,-0.00306693,-0.000614292,-0.0153349,0.0782206,
0.75,0.5,0.0370607,0.00370607,0,-0.00306697,-0.000639098,-0.0153351,0.0785937,
0.75,0.5,0.0373103,0.00373103,0,-0.00306701,-0.000664018,-0.0153353,0.0789684,
0.75,0.5,0.0375611,0.00375611,0,-0.00306706,-0.000689053,-0.0153355,0.079345,
0.75,0.5,0.0378131,0.00378131,0,-0.0030671,-0.000714203,-0.0153358,0.0797233,
0.75,0.5,0.0380662,0.00380662,0,-0.00306715,-0.000739469,-0.015336,0.0801033,
0.75,0.5,0.0383205,0.00383205,0,-0.0030672,-0.000764852,-0.0153363,0.0804852,
0.75,0.5,0.0385761,0.00385761,0,-0.00306725,-0.000790352,-0.0153365,0.0808689,
0.75,0.5,0.0388328,0.00388328,0,-0.00306731,-0.000815971,-0.0153368,0.0812543,
0.75,0.5,0.0390907,0.00390907,0,-0.00306736,-0.000841706,-0.0153371,0.0816416,
0.75,0.5,0.0393498,0.00393498,0,-0.00306742,-0.000867561,-0.0153374,0.0820307,
0.75,0.5,0.0396101,0.00396101,0,-0.00306747,-0.000893535,-0.0153377,0.0824216,
0.75,0.5,0.0398716,0.00398716,0,-0.00306753,-0.000919629,-0.015338,0.0828144,
0.75,0.5,0.0401344,0.00401344,0,-0.00306759,-0.000945843,-0.0153383,0.083209,
0.75,0.5,0.0403984,0.00403984,0,-0.00306766,-0.000972179,-0.0153386,0.0836055,
